PHELIX — Tokenomics,,,
,,,
Token name,PHELIX,,
Network,BNB Chain (BEP-20),,
Contract,0x6edd700d450f20E8b7c837CaBbf70b6Bac6F6C43,,
,,,
Total supply,3000000000,,
,,,
Allocation,% of Supply,Tokens,Notes
Ecosystem Growth,35%,1050000000,"Grants, integrations, ecosystem programs"
Community Incentives,20%,600000000,"Rewards, campaigns, engagement"
Treasury,15%,450000000,"Audits, infrastructure, operations reserve"
Team & Advisors,15%,450000000,Subject to vesting / lockup
Strategic Partners,10%,300000000,Partnerships and integrations
Liquidity Reserve,5%,150000000,DEX liquidity provisioning
TOTAL,100%,3000000000,
